|Hastings Highlands| 85           
|North Bay| 86   84.47  93.54 67.63 109.69 113.11 103.19 107.79 113.29
Ottawa 87  84.47  115.83 58.87 121.25 73.62 88.17 71.32 104.49 91.12
|Greater Sudbury / Grand Sudbury| 88   107.51  75.71 77.97 100.1 116.2 90.4 128.04 106.22
Toronto 89  83.55 116.0 84.55  14.45 14.75 17.0 12.45 17.7 34.0
Barrie 90  59.85 95.45 73.1 13.35  52.2 54.2 22.3 29.36 102.45
Peterborough 91  109.69 73.62 141.04 19.65 27.45  43.65 26.8 31.6 51.9
|Port Colborne| 92  108.37 120.44 136.33 21.33 45.09 40.73  27.55 39.03 47.08
Hamilton 93  95.5 128.45 106.0 11.42 22.3 47.2 24.2  36.55 61.0
Kitchener 94  97.4 88.72 128.04 17.7 33.4 31.6 66.15 36.55  24.0
London 95  121.9 168.0 52.5 24.0 56.54 71.75 14.0 61.0 24.0 
