|Hastings Highlands| 85           
|North Bay| 86   365043.0  361491.0 261568.0 489980.0 515354.0 424906.0 439953.0 552516.0
Ottawa 87  794455.0  850447.0 445506.0 541578.0 480300.0 596485.0 516070.0 564933.0 639152.0
|Greater Sudbury / Grand Sudbury| 88   489359.0  425516.0 329228.0 555289.0 566189.0 495055.0 524736.0 617825.0
Toronto 89  349117.0 448631.0 405109.0  96240.0 136626.0 150586.0 93985.0 119465.0 194128.0
Barrie 90  256649.0 544388.0 309156.0 111375.0  226348.0 261613.0 181509.0 195795.0 305264.0
Peterborough 91  483613.0 481874.0 540666.0 135725.0 230063.0  286675.0 204642.0 256334.0 329685.0
|Port Colborne| 92  507754.0 607097.0 564174.0 177762.0 281287.0 314220.0  127871.0 297290.0 368153.0
Hamilton 93  411734.0 516881.0 475181.0 84444.0 160459.0 204876.0 100464.0  141235.0 261645.0
Kitchener 94  428893.0 568099.0 504764.0 122431.0 195895.0 256319.0 260478.0 137822.0  313088.0
London 95  534590.0 634272.0 592823.0 195790.0 281109.0 322267.0 361153.0 233674.0 95927.0 
