|Hastings Highlands| 85           
|North Bay| 86 81.0  73.5 25.6 90.4 59.0 83.7 104.4 72.7 122.2 90.4
Ottawa 87 58.6 59.0  56.0 51.5 87.2 47.2 65.5 65.0 100.9 75.0
|Greater Sudbury / Grand Sudbury| 88 132.9 24.1 68.0  53.1 52.0 74.7 67.0 73.3 80.1 66.2
Toronto 89 62.0 90.4 41.0 53.1  13.0 13.9 14.0 10.2 12.0 25.0
Barrie 90 81.1 50.5 87.2 55.0 13.0  40.3 27.0 31.7 22.4 56.5
Peterborough 91 32.6 109.6 47.2 74.7 14.9 40.3  28.0 40.3 25.0 55.1
|Port Colborne| 92 65.2 104.4 55.0 67.0 18.0 26.0 28.0  24.0 25.0 37.0
Hamilton 93 77.5 89.7 65.0 77.8 11.2 33.7 40.3 25.0  10.0 30.1
Kitchener 94 81.1 104.2 100.9 85.1 13.5 22.4 25.0 24.0 10.0  12.21
London 95 96.3 90.4 75.0 71.7 31.0 59.0 55.1 37.0 28.1 12.21 
