|Hastings Highlands| 85  10445.0 8934.0 15673.0 10678.0 9472.0 5839.0 15732.0 12712.0 13686.0 16726.0
|North Bay| 86 10582.0  13496.0 5451.0 12598.0 8915.0 12713.0 16509.0 13692.0 14463.0 17503.0
Ottawa 87 8954.0 13446.0  18675.0 15275.0 17349.0 11271.0 20126.0 17309.0 18826.0 21363.0
|Greater Sudbury / Grand Sudbury| 88 15653.0 5328.0 18567.0  14453.0 10770.0 16361.0 18364.0 15547.0 16318.0 19358.0
Toronto 89 10737.0 12588.0 15332.0 14651.0  4246.0 5554.0 5703.0 2899.0 4380.0 7268.0
Barrie 90 9414.0 8877.0 17298.0 10940.0 4269.0  7467.0 8179.0 5373.0 6133.0 9173.0
Peterborough 91 5855.0 12676.0 11318.0 16533.0 5964.0 7568.0  10545.0 7728.0 8499.0 11539.0
|Port Colborne| 92 15555.0 16468.0 20150.0 18531.0 5697.0 8126.0 10372.0  4083.0 6509.0 8395.0
Hamilton 93 12817.0 13730.0 17412.0 15793.0 2980.0 5388.0 7634.0 4028.0  3255.0 5072.0
Kitchener 94 13642.0 14339.0 18284.0 16402.0 4272.0 5997.0 8459.0 6376.0 3082.0  4546.0
London 95 16736.0 17433.0 21377.0 19496.0 7274.0 9091.0 11553.0 8309.0 4979.0 4678.0 
