|Hastings Highlands| 85           
|North Bay| 86   17792.0  17811.0 12462.0 24186.0 33783.0 21090.0 23895.0 29208.0
Ottawa 87  17798.0  37224.0 17429.0 22963.0 19325.0 29899.0 20883.0 25809.0 25425.0
|Greater Sudbury / Grand Sudbury| 88   23432.0  23521.0 18102.0 29265.0 28066.0 26109.0 26175.0 30948.0
Toronto 89  18555.0 18197.0 20069.0  7788.0 7536.0 14606.0 3477.0 7803.0 8704.0
Barrie 90  13078.0 23367.0 14509.0 7988.0  11935.0 18532.0 10971.0 11644.0 15783.0
Peterborough 91  24714.0 20693.0 26565.0 7896.0 15670.0  20160.0 11350.0 16096.0 16155.0
|Port Colborne| 92  28996.0 27519.0 29555.0 10329.0 18128.0 18764.0  13594.0 17059.0 18226.0
Hamilton 93  20838.0 24066.0 24594.0 3488.0 11811.0 11905.0 12118.0  7927.0 7204.0
Kitchener 94  21461.0 26729.0 25232.0 8011.0 15203.0 16499.0 18865.0 8124.0  
London 95  29588.0 26345.0 28734.0 9419.0 16996.0 15567.0 17168.0 7781.0 7379.0 
