|Hastings Highlands| 85           
|North Bay| 86 81.0  81.0 33.6 116.9 65.0 83.7 116.9 94.2 134.7 88.4
Ottawa 87 58.6 89.0  88.0 55.0 110.2 53.2 69.0 80.0 127.4 113.0
|Greater Sudbury / Grand Sudbury| 88 152.9 35.1 84.0  65.1 75.0 83.7 68.0 77.5 114.6 97.8
Toronto 89 62.0 105.9 52.0 57.1  18.0 20.4 14.0 13.7 18.0 33.0
Barrie 90 64.8 65.0 101.2 71.0 18.0  46.3 25.0 43.2 31.4 53.2
Peterborough 91 32.6 109.6 53.2 83.7 17.9 46.3  34.0 53.4 29.0 62.09
|Port Colborne| 92       29.0    
Hamilton 93 77.5 94.2 76.0 77.5 12.7 43.2 46.3 24.0  10.0 39.1
Kitchener 94 81.1 134.7 127.4 109.6 20.0 31.4 34.0 24.0 10.0  17.7
London 95 77.5 88.4 107.0 98.0 33.0 53.0 62.1 45.0 42.6 21.7 
