city_from,city_to,transitmode,persona,total distance,total time,total Cost,start time,transfertime,eagres time,stop1 lat,stop 1 long,stop 2 lat,stop 2 long,stp3 lat,stop 3 lon,
75,74,3,1,138km,2h50min,$28.10,8:00 AM,,10:50 AM,LondonGreyhound,,HamiltonGO,,,,
75,72,3,1,195km,2h35min,$23.00,4:00 AM,,6:35 AM,LondonGreyhound,,UnionStation,,,,
75,71,3,1,545km,7h,$71.70,2:30 PM,4:30:00 PM-5PM,9:30 PM,LondonGreyhound,,TorontoPearsonAirport,,OntarioNorthlandSudburyBusDepot,,
75,70,3,1,110km,1h35min,$12.21,6:15 AM,,7:50 AM,LondonGreyhound,,CharlesStreetTerminal,,,,
75,69,3,1,255km,5h19min,$59,12:01 PM,2:20PM-3:15PM,5:20 PM,LondonGreyhound,,UnionStation,,BarrieBusTerminal,,
75,68,3,1,628km,9h50min,$75,4:00 AM,6:35AM-8:30AM,1:50 PM,LondonGreyhound,,UnionStation,,OttawaCentralStation,,
75,67,3,1,496km,19h45min,$90.40,2:30 PM,4:30PM-5PM-9:30PM-8:30AM,10:15 AM,LondonGreyhound,,TorontoPearsonAirport,,OntarioNorthlandSudburyBusDepot,,OntarioNorthlandNorthBayBusStation
75,64,3,1,436km,39h45min,$96.30,8:30 PM,11:45PM-2:30PM-4:45PM-10:15AM,12:15 PM,LondonGreyhound,,UnionStation,,Peterborough,,MaynoothGreyhound
75,74,3,2,138km,2h50min,$28.10,8:00 AM,,10:50 AM,LondonGreyhound,,HamiltonGO,,,,
75,72,3,2,195km,2h19min,$31.00,12:01 PM,,2:20 PM,LondonGreyhound,,UnionStation,,,,
75,71,3,2,545km,7h,$71.70,2:30 PM,4:30:00 PM-5PM,9:30 PM,LondonGreyhound,,TorontoPearsonAirport,,OntarioNorthlandSudburyBusDepot,,
75,70,3,2,110km,1h35min,$12.21,6:15 AM,,7:50 AM,LondonGreyhound,,CharlesStreetTerminal,,,,
75,69,3,2,255km,5h19min,$59,12:01 PM,2:20PM-3:15PM,5:20 PM,LondonGreyhound,,UnionStation,,BarrieBusTerminal,,
75,68,3,2,628km,9h50min,$75,4:00 AM,6:35AM-8:30AM,1:50 PM,LondonGreyhound,,UnionStation,,OttawaCentralStation,,
75,67,3,2,496km,19h45min,$90.40,2:30 PM,4:30PM-5PM-9:30PM-8:30AM,10:15 AM,LondonGreyhound,,TorontoPearsonAirport,,OntarioNorthlandSudburyBusDepot,,OntarioNorthlandNorthBayBusStation
75,64,3,2,436km,39h45min,$96.30,8:30 PM,11:45PM-2:30PM-4:45PM-10:15AM,12:15 PM,LondonGreyhound,,UnionStation,,Peterborough,,MaynoothGreyhound
75,74,3,3,138km,2h50min,$42.60,8:00 AM,,10:50 AM,LondonGreyhound,,HamiltonGO,,,,
75,72,3,3,195km,2h45min,$33.00,10:45 AM,,1:30 PM,LondonGreyhound,,UnionStation,,,,
75,71,3,3,545km,7h,$98,2:30 PM,4:30:00 PM-5PM,9:30 PM,LondonGreyhound,,TorontoPearsonAirport,,OntarioNorthlandSudburyBusDepot,,
75,70,3,3,110km,1h35min,$21.70,10:45 AM,,12:20 PM,LondonGreyhound,,CharlesStreetTerminal,,,,
75,69,3,3,255km,5h19min,$53,12:01 PM,2:20PM-3:15PM,5:20 PM,LondonGreyhound,,UnionStation,,BarrieBusTerminal,,
75,68,3,3,628km,9h50min,$107,4:00 AM,6:35AM-8:30AM,1:50 PM,LondonGreyhound,,UnionStation,,OttawaCentralStation,,
75,67,3,3,496km,19h45min,$88.40,2:30 PM,4:30PM-5PM-9:30PM-8:30AM,10:15 AM,LondonGreyhound,,TorontoPearsonAirport,,OntarioNorthlandSudburyBusDepot,,OntarioNorthlandNorthBayBusStation
75,64,3,3,436km,15h45min,$77.50,8:30 PM,11:45PM-7:30AM-9:45AM-10:15AM,12:15 PM,LondonGreyhound,,UnionStation,,Peterborough,,MaynoothGreyhound
75,74,3,4,138km,2h50min,$28.10,8:00 AM,,10:50 AM,LondonGreyhound,,HamiltonGO,,,,
75,72,3,4,195km,2h45min,$31.00,10:45 AM,,1:30 PM,LondonGreyhound,,UnionStation,,,,
75,71,3,4,545km,7h,$71.70,2:30 PM,4:30:00 PM-5PM,9:30 PM,LondonGreyhound,,TorontoPearsonAirport,,OntarioNorthlandSudburyBusDepot,,
75,70,3,4,110km,1h35min,$12.21,6:15 AM,,7:50 AM,LondonGreyhound,,CharlesStreetTerminal,,,,
75,69,3,4,255km,5h19min,$59,12:01 PM,2:20PM-3:15PM,5:20 PM,LondonGreyhound,,UnionStation,,BarrieBusTerminal,,
75,68,3,4,628km,9h50min,$75,4:00 AM,6:35AM-8:30AM,1:50 PM,LondonGreyhound,,UnionStation,,OttawaCentralStation,,
75,67,3,4,496km,19h45min,$90.40,2:30 PM,4:30PM-5PM-9:30PM-8:30AM,10:15 AM,LondonGreyhound,,TorontoPearsonAirport,,OntarioNorthlandSudburyBusDepot,,OntarioNorthlandNorthBayBusStation
75,64,3,4,436km,39h45min,$96.30,8:30 PM,11:45PM-2:30PM-4:45PM-10:15AM,12:15 PM,LondonGreyhound,,UnionStation,,Peterborough,,MaynoothGreyhound
75,74,3,5,138km,2h50min,$42.60,8:00 AM,,10:50 AM,LondonGreyhound,,HamiltonGO,,,,
75,72,3,5,195km,2h45min,$33.00,10:45 AM,,1:30 PM,LondonGreyhound,,UnionStation,,,,
75,71,3,5,545km,7h,$98,2:30 PM,4:30:00 PM-5PM,9:30 PM,LondonGreyhound,,TorontoPearsonAirport,,OntarioNorthlandSudburyBusDepot,,
75,70,3,5,110km,1h35min,$21.70,10:45 AM,,12:20 PM,LondonGreyhound,,CharlesStreetTerminal,,,,
75,69,3,5,255km,5h19min,$53,12:01 PM,2:20PM-3:15PM,5:20 PM,LondonGreyhound,,UnionStation,,BarrieBusTerminal,,
75,68,3,5,628km,9h50min,$107,4:00 AM,6:35AM-8:30AM,1:50 PM,LondonGreyhound,,UnionStation,,OttawaCentralStation,,
75,67,3,5,496km,19h45min,$88.40,2:30 PM,4:30PM-5PM-9:30PM-8:30AM,10:15 AM,LondonGreyhound,,TorontoPearsonAirport,,OntarioNorthlandSudburyBusDepot,,OntarioNorthlandNorthBayBusStation
75,64,3,5,436km,15h45min,$77.50,8:30 PM,11:45PM-7:30AM-9:45AM-10:15AM,12:15 PM,LondonGreyhound,,UnionStation,,Peterborough,,MaynoothGreyhound
74,75,3,1,138km,2h45min,$30.10,11:40 AM,,2:25 PM,HamiltonGO,,LondonGreyhound,,,,
74,72,3,1,69km,1h15min,$11.20,11:00 AM,,12:15 PM,HamiltonGO,,UnionStation,,,,
74,71,3,1,436km,10h30min,$77.80,11:00 AM,12:15PM-4PM,9:30 PM,HamiltonGO,,UnionStation,,OntarioNorthlandSudburyBusDepot,,
74,70,3,1,66km,1h35min,$10,7:30 AM,,9:05 AM,HamiltonGO,,CharlesStreetTerminal,,,,
74,69,3,1,146km,6h20min,$33.70,11:00 AM,12:15PM-3:15PM,5:20 PM,HamiltonGO,,UnionStation,,BarrieBusTerminal ,,
74,68,3,1,516km,9h,$65,11:00 AM,12:15PM-2:30PM,8:00 PM,HamiltonGO,,UnionStation,,OttawaCentralStation,,
74,67,3,1,393km,17h10min,$89.70,10:10 PM,11:45PM-12:30AM-6:20AM-10AM,3:20 PM,HamiltonGO,,UnionStation,,OttawaCentralStation,,OntarioNorthlandNorthbayBusStation
74,64,3,1,331km,43h15min,$77.50,5:00 PM,6:50PM-3:10PM-4:45PM-10:10AM,12:15 PM,HamiltonGO,,ScarboroughTownCentreBusTerminal ,,Peterborough,,MaynoothGreyhound
74,75,3,2,138km,2h45min,$30.10,11:40 AM,,2:25 PM,HamiltonGO,,LondonGreyhound,,,,
74,72,3,2,69km,1h15min,$11.20,11:00 AM,,12:15 PM,HamiltonGO,,UnionStation,,,,
74,71,3,2,436km,10h30min,$77.80,11:00 AM,12:15PM-4PM,9:30 PM,HamiltonGO,,UnionStation,,OntarioNorthlandSudburyBusDepot,,
74,70,3,2,66km,1h35min,$10,9:30 AM,,11:05 AM,HamiltonGO,,CharlesStreetTerminal,,,,
74,69,3,2,146km,6h20min,$33.70,11:00 AM,12:15PM-3:15PM,5:20 PM,HamiltonGO,,UnionStation,,BarrieBusTerminal ,,
74,68,3,2,516km,9h,$65,11:00 AM,12:15PM-2:30PM,8:00 PM,HamiltonGO,,UnionStation,,OttawaCentralStation,,
74,67,3,2,393km,17h10min,$89.70,10:10 PM,11:45PM-12:30AM-6:20AM-10AM,3:20 PM,HamiltonGO,,UnionStation,,OttawaCentralStation,,OntarioNorthlandNorthbayBusStation
74,64,3,2,331km,43h15min,$77.50,5:00 PM,6:50PM-3:10PM-4:45PM-10:10AM,12:15 PM,HamiltonGO,,ScarboroughTownCentreBusTerminal ,,Peterborough,,MaynoothGreyhound
74,75,3,3,138km,2h45min,$39.10,11:40 AM,,2:25 PM,HamiltonGO,,LondonGreyhound,,,,
74,72,3,3,69km,1h15min,$12.70,11:00 AM,,12:15 PM,HamiltonGO,,UnionStation,,,,
74,71,3,3,436km,10h30min,$77.50,11:00 AM,12:15PM-4PM,9:30 PM,HamiltonGO,,UnionStation,,OntarioNorthlandSudburyBusDepot,,
74,70,3,3,66km,1h35min,$10,9:30 AM,,11:05 AM,HamiltonGO,,CharlesStreetTerminal,,,,
