city_from,city_to,transitmode,persona,total distance,time,total Cost,start time,transfertime,eagres time,stop 1 lat,stop 1 long,stop 2 lat,stop 2 long,stop 3 lat,stop 3 long,stop 4 lat,stop 4 long,rowiid
London,Hamilton,3,1,138km,170,$28.10,8:00 AM,,10:50 AM,42.980546,-81.250705,43.253217,-79.869159,,,,,1
London,Toronto,3,1,195km,155,$23.00,4:00 AM,,6:35 AM,42.980546,-81.250705,43.646652,-79.384396,,,,,2
London,Greater Sudbury,3,1,545km,420,$71.70,2:30 PM,4:30:00 PM-5PM,9:30 PM,42.980546,-81.250705,43.646652,-79.384396,46.504838,-80.938205,,,3
London,Kitchener ,3,1,110km,95,$12.21,6:15 AM,,7:50 AM,42.980546,-81.250705,43.449564,-80.492256,,,,,4
London,Barrie,3,1,255km,319,$59,12:01 PM,2:20PM-3:15PM,5:20 PM,42.980546,-81.250705,43.646652,-79.384396,44.387776,-79.690978,,,5
London,Ottawa,3,1,628km,590,$75,4:00 AM,6:35AM-8:30AM,1:50 PM,42.980546,-81.250705,43.646652,-79.384396,45.408603,-75.695007,,,6
London,North Bay ,3,1,496km,1185,$90.40,2:30 PM,4:30PM-5PM-9:30PM-8:30AM,10:15 AM,42.980546,-81.250705,43.646652,-79.384396,46.504838,-80.938205,46.313901,-79.438546,7
London,Hastings Highlands,3,1,436km,2385,$96.30,8:30 PM,11:45PM-2:30PM-4:45PM-10:15AM,12:15 PM,42.980546,-81.250705,43.646652,-79.384396,44.304691,-78.323045,45.231021,-77.937785,8
London,Hamilton,3,2,138km,170,$28.10,8:00 AM,,10:50 AM,42.980546,-81.250705,43.253217,-79.869159,,,,,9
London,Toronto,3,2,195km,139,$31.00,12:01 PM,,2:20 PM,42.980546,-81.250705,43.646652,-79.384396,,,,,10
London,Greater Sudbury,3,2,545km,420,$71.70,2:30 PM,4:30:00 PM-5PM,9:30 PM,42.980546,-81.250705,43.646652,-79.384396,46.504838,-80.938205,,,11
London,Kitchener ,3,2,110km,95,$12.21,6:15 AM,,7:50 AM,42.980546,-81.250705,43.449564,-80.492256,,,,,12
London,Barrie,3,2,255km,319,$59,12:01 PM,2:20PM-3:15PM,5:20 PM,42.980546,-81.250705,43.646652,-79.384396,44.387776,-79.690978,,,13
London,Ottawa,3,2,628km,590,$75,4:00 AM,6:35AM-8:30AM,1:50 PM,42.980546,-81.250705,43.646652,-79.384396,45.408603,-75.695007,,,14
London,North Bay ,3,2,496km,1185,$90.40,2:30 PM,4:30PM-5PM-9:30PM-8:30AM,10:15 AM,42.980546,-81.250705,43.646652,-79.384396,46.504838,-80.938205,46.313901,-79.438546,15
London,Hastings Highlands,3,2,436km,2385,$96.30,8:30 PM,11:45PM-2:30PM-4:45PM-10:15AM,12:15 PM,42.980546,-81.250705,43.646652,-79.384396,44.304691,-78.323045,45.231021,-77.937785,16
